	0.0 s	900995.0 s	1801990.0 s	2702985.0 s	3603980.0 s	4504975.0 s	5405970.0 s	6306965.0 s	7207960.0 s	8108955.0 s	9009950.0 s	9910945.0 s	10811940.0 s	11712935.0 s	12613930.0 s	13514925.0 s	14415920.0 s	15316915.0 s	16217910.0 s	17118905.0 s
42	10.634272528651886	10.612753277298344	10.591257813341501	10.569785951243402	10.548337502876706	10.52691227743703	10.505510081350959	10.484130718179394	10.462773988515805	10.441439689878951	10.420127616599451	10.398837559699507	10.377569306764878	10.356322641807955	10.335097345120511	10.31389319311432	10.292709958147372	10.271547408332914	10.25040530732792	10.229283414096901
43	6.5556213553366	6.541690473334321	6.527769685285077	6.513858779148342	6.499957538275321	6.486065741212333	6.472183161491021	6.458309567403687	6.444444721761563	6.430588381633091	6.41674029805832	6.402900215734266	6.389067872664404	6.375242999763529	6.361425320406818	6.347614549909291	6.333810394918918	6.32001255270355	6.306220710308722	6.292434543560358
44	4.041182031877248	4.032074786047795	4.022968756973564	4.013863682869713	4.004759293878548	3.9956553116187163	3.986551448689528	3.9774474081197564	3.9683428827457505	3.959237554497678	3.9501310935650706	3.941023157403705	3.9319133895354423	3.922801418081521	3.9136868539586116	3.9045692886564534	3.8954482915070887	3.886323406349348	3.8771941474892175	3.8680599948576644
45	2.4910838706521594	2.4850633712692494	2.479038258714773	2.4730081956173646	2.466972830420402	2.460931796285139	2.454884709804247	2.448831169450896	2.442770753657409	2.436703018380878	2.430627493973728	2.4245436811385765	2.418451045713559	2.4123490120110405	2.40623695442378	2.4001141870214635	2.393979950889256	2.387833399009139	2.3816735785533365	2.375499410544488
46	1.5354996303245134	1.5314698800068027	1.527431610682373	1.52338437669857	1.5193277068671063	1.515261101388159	1.5111840277954347	1.5070959154603698	1.502996148058758	1.4988840532865813	1.4947588890375119	1.4906198252440197	1.4864659206526958	1.4822960939588163	1.4781090889619313	1.4739034337104149	1.4696773939578434	1.4654289216320022	1.461155599390458	1.4568545826778934
47	0.9464276838881637	0.9436934027300201	0.9409478962233705	0.93819056365721	0.9354207550836706	0.9326377606031747	0.9298407945738647	0.9270289726796884	0.9242012796570046	0.9213565256501627	0.918493289684943	0.9156098495984923	0.9127040988727645	0.9097734520707648	0.9068147418348836	0.903824111538238	0.90079690856605	0.8977275837595446	0.8946096027332808	0.8914353745712421
48	0.5833039970015156	0.5814212947811928	0.5795253751904516	0.5776154033095687	0.5756904339783929	0.5737493690747684	0.5717908932129188	0.5698133828108843	0.5678147856701635	0.5657924715722814	0.5637430584388056	0.5616622226816025	0.5595445058430399	0.5573831319695516	0.555169851059198	0.5528948232883428	0.5505465566796146	0.5481119077093487	0.5455761504506715	0.5429231156234737
49	0.359470904092994	0.35815423398483853	0.3568227050973448	0.3554750766519348	0.35410980854891	0.35272490109472027	0.35131767118731383	0.3498844686658276	0.3484203495358605	0.34691873481489943	0.34537109209366296	0.3437666798595847	0.3420923917281775	0.3403327296893217	0.3384699238235779	0.3364842025765724	0.33435420446622394	0.3320575105843892	0.3295712685043442	0.3268728727574623
50	0.22150452957322309	0.22056853641050359	0.21961601348192258	0.2186448558436317	0.2176520692811486	0.2166332901383777	0.2155822157397919	0.21449002134806447	0.2133448615949232	0.21213155551281315	0.2108315349451385	0.20942310177591164	0.20788199831522622	0.206182255562331	0.20429725236815643	0.2022008984529815	0.19986884680315728	0.19727964500030853	0.1944157479655609	0.19126433326152342
51	0.1364698132804207	0.13579279938720265	0.13509689648637657	0.13437789780970907	0.1336291596622549	0.13284060886164054	0.1319979033924678	0.13108198863118767	0.13006922870827842	0.1289321826064198	0.12764097293197527	0.12616509362081252	0.124475440588903	0.12254633198330765	0.12035730657924325	0.11789453797676899	0.11515176474752753	0.11213070025051847	0.10884094145135774	0.10529943848964313
52	0.08406303748044715	0.0835637335231243	0.08304108177854672	0.08248596806815484	0.08188387418893169	0.08121390820896006	0.08044891723725707	0.0795568752956324	0.07850339544847529	0.07725494614270684	0.07578222490645248	0.0740631622326931	0.07208515533175856	0.06984630996451202	0.06735564821189942	0.06463238621763612	0.06170448225110696	0.058606700419463226	0.05537843717121375	0.052061528965016965
53	0.051767557408592915	0.051389965604860706	0.05097986384575797	0.0505186146405499	0.049978894486107775	0.04932608388990349	0.04852196546860223	0.04752987707147879	0.04632007344857161	0.044874127852134515	0.04318760150640668	0.04127071211588085	0.0391471722090547	0.03685165458477712	0.03442645993987989	0.031917942474997615	0.02937314335580672	0.02683693851062434	0.024349863773942982	0.021946659662438486
54	0.03186720861275365	0.03157044027805015	0.031224078948093162	0.030795757483212366	0.03024506854669819	0.029530674935453985	0.028618788687488683	0.027490305004623638	0.02614475513243394	0.02460054444026904	0.022892040367516873	0.021064677469544386	0.019169356383668398	0.017257188016660374	0.015375260625268493	0.013563730835513947	0.011854242218595504	0.0102694845324216	0.008823615597300319	0.007523251719311051
55	0.01960507270902928	0.0193569596696079	0.019033138233829284	0.018589179009307764	0.017982549488474615	0.01718512384449373	0.016191436533081135	0.015020360868425656	0.013710902415000137	0.012314515398693554	0.010886616055415521	0.009479302506461479	0.00813632044890669	0.006890464487474226	0.005763056084141129	0.004764894394967793	0.0038980550269433426	0.0031580166489877516	0.0025357472646407395	0.0020195301424432268
56	0.012048576463443601	0.011823184686028058	0.011491770981938402	0.011010059192733953	0.010354332320982254	0.009530913962547433	0.008574264919228436	0.007537042794247618	0.006477594988903422	0.005449282927058289	0.0044937726864645285	0.0036384509999980324	0.002897000153387553	0.0022718304325014677	0.0017572247645406493	0.0013424043914329377	0.0010140849087181653	0.0007583693872988453	0.0005619999126830499	0.00041307640197499573
57	0.007390261007289891	0.007169217248995777	0.006819118624938039	0.0063153001657108385	0.005670074189103819	0.004927316290942633	0.00414614882308822	0.0033839920240606555	0.0026852562736514847	0.0020770295351996326	0.0015701048973550582	0.001162825055134844	0.0008456391299869013	0.0006051052275683748	0.0004268223276985328	0.00029726196611932923	0.000204706249437338	0.00013956362604019355	9.430770698133825e-05	6.32240982055853e-05
58	0.004517054557397598	0.004292579737672506	0.003935653018317441	0.003455714237397544	0.002899483827835958	0.002327903201299828	0.0017943515805970887	0.001333281348421843	0.0009590221411793115	0.0006704267472191342	0.0004571445014837077	0.00030501513912269487	0.00019969549987966927	0.0001286022426238337	8.163478956462346e-05	5.1172673574994904e-05	3.1726330565187705e-05	1.9481006720343312e-05	1.186109519341146e-05	7.168105993108453e-06
59	0.0027445656480107818	0.002520466512349673	0.002184601074442518	0.0017790199000337747	0.0013643531677210252	0.000990931577573175	0.0006861107313859013	0.0004558083332159004	0.0002922478149413201	0.00018177133056368244	0.0001101575648512575	6.52895178096987e-05	3.796566694148144e-05	2.1718246947744972e-05	1.2249963744931545e-05	6.825934857066156e-06	3.7637663931019466e-06	2.0564929983920407e-06	1.1148037898772637e-06	6.00184012860608e-07
60	0.0016525474534012073	0.00144078296303247	0.0011548830501735183	0.000852903245820146	0.0005853955125874158	0.0003772685911871818	0.0002305387549568327	0.00013472306853017758	7.583763595350408e-05	4.137036943086841e-05	2.197987869663691e-05	1.1420622512969006e-05	5.823369464378691e-06	2.9222690639797025e-06	1.44665082544773e-06	7.079022339478596e-07	3.429880939924463e-07	1.6477715180479712e-07	7.858658992109103e-08	3.7245680591213677e-08
61	0.000982678618917022	0.0007968109254174421	0.0005775895114333829	0.00037877358442528155	0.00022828174430602075	0.0001283252279826219	6.813183159920855e-05	3.4517969652265946e-05	1.682694901322653e-05	7.945905098103762e-06	3.654407005469799e-06	1.6441542335515647e-06	7.262497563566267e-07	3.1588775523755395e-07	1.3562619243848567e-07	5.7596672035100136e-08	2.4234042575075587e-08	1.0116731530262146e-08	4.195202143193414e-09	1.7297957010199811e-09
62	0.0005753045586873015	0.0004245573462349473	0.0002724858930235869	0.00015571242481256917	8.104507713445744e-05	3.914723451984722e-05	1.7811216003077806e-05	7.722441700484544e-06	3.21994503188413e-06	1.3004862859787334e-06	5.117025478972854e-07	1.9705191425413685e-07	7.454300586128976e-08	2.7784706137750403e-08	1.0229333046562794e-08	3.727435224002238e-09	1.346539299511966e-09	4.829192178181684e-10	1.7213751264590483e-10	6.10433369646236e-11
63	0.0003308473787016717	0.0002175669998045305	0.00012131699615439948	5.9434200692300446e-05	2.6334658960688982e-05	1.0789338932367924e-05	4.156089106891058e-06	1.5244216849828107e-06	5.376347858958636e-07	1.8370488341013964e-07	6.117712047651447e-08	1.994993782044901e-08	6.394651618236908e-09	2.0208534971168624e-09	6.311970077732941e-10	1.952444255533391e-10	5.990861905580257e-11	1.8259261607994578e-11	5.5340604242351736e-12	1.6694422533691837e-12
64	0.00018667983425862497	0.00010728768456958408	5.113162514973228e-05	2.1179742614850444e-05	7.892119191310013e-06	2.7120103183268162e-06	8.751651197916142e-07	2.688108226250252e-07	7.93949512146598e-08	2.2726467252597836e-08	6.343248430704489e-09	1.734660590703539e-09	4.665440852481906e-10	1.2378486117218004e-10	3.247898174124352e-11	8.444185397707294e-12	2.1788790134540017e-12	5.587266806686501e-13	1.4253588662422052e-13	3.6206921092640717e-14
65	0.00010334329331881237	5.102348726407217e-05	2.0498071220962212e-05	7.095871028612935e-06	2.200740274287248e-06	6.282500249204874e-07	1.6829201938649764e-07	4.290280393505902e-08	1.0519108135059818e-08	2.5005134328774746e-09	5.798662962739949e-10	1.3181873909836725e-10	2.948728513544642e-11	6.5105598464116465e-12	1.4222692949793402e-12	3.080158895649962e-13	6.62334360058768e-14	1.4159569392771838e-14	3.01261508624671e-15	6.384503632414397e-16
66	5.617592143952708e-05	2.3479368604527418e-05	7.860165006286659e-06	2.252041470135646e-06	5.763049595992555e-07	1.3556290571733818e-07	2.990813968688496e-08	6.279502144087207e-09	1.268349967604474e-09	2.48471388521606e-10	4.750702089388649e-11	8.908340825769363e-12	1.6445664647756592e-12	2.998006949831274e-13	5.409833612013488e-14	9.681446353410171e-15	1.7209680133080093e-15	3.042447154707813e-16	5.354626427291284e-17	9.389592479015378e-18
67	3.0028884995374948e-05	1.049451882798342e-05	2.899947118208149e-06	6.821875718632085e-07	1.4300024798488006e-07	2.7527235850852084e-08	4.968488079286403e-09	8.535016828408885e-10	1.4108365753644803e-10	2.2627126635418577e-11	3.54325827726254e-12	5.443974982892938e-13	8.238053357314653e-14	1.231491799266653e-14	1.8229287710755393e-15	2.67708359825277e-16	3.906308853111129e-17	5.670381570333311e-18	8.196431432369214e-19	1.1807226290178933e-19
68	1.5813846981785057e-05	4.574176871026533e-06	1.0352675953216963e-06	1.986413338779609e-07	3.390312980009879e-08	5.310099759733188e-09	7.797058510311704e-10	1.0897472898548092e-10	1.4659652169791765e-11	1.9140072206251644e-12	2.4408371784498316e-13	3.055137935507583e-14	3.7676512727110035e-15	4.591491250279215e-16	5.542462544062198e-17	6.639409494920203e-18	7.904616532266303e-19	9.36427717852899e-20	1.1049047034312638e-20	1.2994695755698421e-21
69	8.220264824204232e-06	1.9515586687553824e-06	3.594935075396105e-07	5.595835925377606e-08	7.73767892293052e-09	9.813729478290769e-10	1.166772159353662e-10	1.3205647601829533e-11	1.4389241148785656e-12	1.5221669085390887e-13	1.5732386173319714e-14	1.596454185902372e-15	1.5965929387643537e-16	1.5783218952230006e-17	1.5458745929880028e-18	1.5029074178195083e-19	1.452468124168389e-20	1.3970284209825482e-21	1.338548162894003e-22	1.2785508484270498e-23
70	4.225787614617602e-06	8.178442621806815e-07	1.2199073878681264e-07	1.533714609134798e-08	1.711165505714675e-09	1.750503136426442e-10	1.6785992936528168e-11	1.5325259942652805e-12	1.347297831089283e-13	1.1501971485056644e-14	9.59623759242363e-16	7.862674480736281e-17	6.350702291209322e-18	5.071497433393836e-19	4.013463685967685e-20	3.1532958180435028e-21	2.4632078866166558e-22	1.9152616881895242e-23	1.483693234684148e-24	1.1459537254050954e-25
71	2.152119891584572e-06	3.3768050715907123e-07	4.061736912743752e-08	4.1097789611529845e-09	3.6873866611605644e-10	3.032718834978557e-11	2.33806656176052e-12	1.716367905475597e-13	1.2134941504791284e-14	8.33313711865336e-16	5.59362427214544e-17	3.6881693842241154e-18	2.397718712849441e-19	1.5414524070751762e-20	9.822121157144812e-22	6.214556645514669e-23	3.909906437066971e-24	2.4488765025914816e-25	1.5282823559264079e-26	9.510179031009005e-28
72	1.0875331846569785e-06	1.3772999211323886e-07	1.3314741688600425e-08	1.0811043797707037e-09	7.779309258934977e-11	5.130386580979867e-12	3.171588946089904e-13	1.8671557987717074e-14	1.0588297602494957e-15	5.832997494331646e-17	3.141591246762353e-18	1.6623277510667975e-19	8.674121794490603e-21	4.476572144521334e-22	2.2901805489839416e-23	1.1635318851304911e-24	5.878777515532804e-26	2.9572174187605998e-27	1.4823598118860048e-28	7.409783733123772e-30
